Name_audio;Transcription;label
10dec_D71_1;Родион, у меня для тебя хорошая новость! Мы едем в Новую Зеландию! Ну вот так едем! Я мне выдали премию и там был горящий тур и я решила купить. Ну как, как какая? Ну у нас годовая премия была. Да почему не может? Ну у нас за целый год выбрали...;радость
10dec_D71_2; Подожди как, как едем? Какая премия? Откуда? Как? Ну... Подожди, какая годовая да это быть не может . Ну как. Какая премия? Вам 20 лет премию не выдавали.;радость
10dec_D72_1;Мы едем в новую Зеландию я купила нам билеты! Ну вот так купила, нам выдали премию на работе и там были горячие путевки. Ну вот такая премия! Ну вот начальник у нас вот такой добрый стал под новый год, решил выдать всем премии. Ну как не может быть! Ну и что это же круто, смотри горячие путевки прям для нас, понимаешь. Да может, как...;радость
10dec_D72_2; Как, подожди, как купила? Подожди какая премия? Вам никогда премию не давали. Этого быть не может! Какая Новая Зеландия, мы десять лет туда не можем поехать . Не может быть, ты чего;радость
10dec_K12_1;Подождите. Что произошло? Стоп, а каком мы этаже? Подождите, может быть. Стоп. Сейчас. Подождите. Надо что-то. Надо вызвать диспетчера.;страх
10dec_K12_2;А, застряли что ли? А. Так, , я ж, , таблетки щас не, я ж таблетки не взял, боже, они там в кабинете же остались . Че делать то? Я щас, я щас задыхаться же начну. . У меня, щас. .;страх
10dec_K41_1;Ты понимаешь, он меня уволил, ну как так можно, а? Да, да я столько вложила в эту компанию, я ежегодно ездила на эти фестивали, тратила свое время, я, я практически не была с семьей, понимаешь, я с десяти утра, до шести, до шести рабочий день, но я-то сидела до девяти вечера в офисе. Сколько я потратила на это времени? Сколько я вложила своих сил? И вот так вот, пожалуйста, нате. Четыре года. Я шесть лет проработала в этой компании.;гнев
10dec_K41_2;Он нас уволил. Я вообще поражаюсь, конечно. Просто. Да, он просто взял и уволил! Урод, понимаешь? Урод! Четыре года? Четыре года, прикинь. Ха, шесть лет.;гнев
10dec_K42_1;Ну ты понимаешь, что случилось ? Как так можно было потратить столько лет на эту контору, чтобы она тебя вот так потом вышвырнула? Да? И тебе нормально с этим живется я смотрю? Я столько сил вложила в эту компанию, я столько встреч провела, столько семинаров сделала. Ты понимаешь? Да он не урод. Он просто, я не знаю. Четыре года? Я шесть лет проработала в этой компании. И что? И какое, это спасибо значит?;гнев
10dec_K42_2; Да, вот так просто взяла и вышвырнула. Нет, не нормально мне живётся с этим. Просто урод. Урод! Просто урод! Четыре года, понимаешь? Четыре. ;гнев
10dec_K51_1;Фу. Господи, какой ужас, а. Ну вот. .;отвращение
10dec_K51_2;Что за вонь? Я. . Сколько ехать-то еще с этим?;отвращение
10dec_K52_2;Да. Что за вонь-то? Здесь чё осёл что ли был, я не понимаю? Что за? Ой, центр Москвы. Сколько ехать-то еще вообще? Фу ты. Вот срань, а. У вас. У вас салфетка.;отвращение
10dec_K53_1; Угу. Еще двадцать этажей. Ну пере...;отвращение
10dec_K53_2;Вы тоже чувствуете вонь? Да, фу. Че здесь кабан что ли был. Что за мерзость. Девушка, сколько нам там ехать еще? Тьфу, ты. Можно я. ;отвращение
10dec_K61_1;Представляешь, меня назначили начальником нового отдела по работе с корпоративными клиентами. Ну да, по работе с зарубежными клиентами. Ну это же круто! Да. Ну вот буквально пару дней назад. Ну я не знаю. Смотри, мы продумали стратегию, чтобы. Там .;радость
10dec_K61_2;Как? Что за? Такой отдел есть? В смысле? Подожди, то есть у нас открыли этот отдел? Подожди, когда открыли? Как. Как, подожди, почему, почему я не знал об этом? Что. Нет, подожди. В смысле, а сколько там сотрудников?;удивление
10dec_K71_1;Представляешь, меня назначили начальником нового отдела по работе с корпоративными зарубежными клиентами! Ну вот так. У нас открылся новый отдел, мы решили разграничить свои обязанности и поэтому я постоянно буду организовывать поездки за границу, буду проводить всякие разные фестивали, мероприятия, понимаешь? Такие конгрессы. Ну вот так. Ну появился совсем недавно, мы решили, что так будет проще, просто кто-то будет работать именно по российской федерации, а я буду.;радость
10dec_K71_2; Как? Подожди. Что за отдел? Ну, в смысле, у нас есть такой отдел? .;удивление
10dec_K72_1;Представляешь меня назначили, директором по работе с зарубежными клиентами. Как тебе?! по работе . Рекламный отдел по работе с зарубежными клиетами. Я начальник этого отдела. Ну конечно! Мы решили раграничить так свои права, просто будет проще и каждый отдел будет отвечать за определенную рекламу. Я за зарубежную, а другой отдел за российскую.;радость
10dec_K72_2; Подожди. В каком отделе? Как? У нас есть этот отдел? .;удивление
10dec_N11_1_p1;Выхожу из квартиры. Захожу в лифт. Спускаюсь на второй этаж. На втором этаже спускаюсь по лестнице на первый этаж. Выхожу из подъезда. Перехожу дорогу. Сажусь в маршрутку. Еду до метро. Сажусь в метро, еду до станции Багратионовская, делаю три пересадки. Выхожу на Багратионовской. Иду минут десять через парк. Захожу в институт. ;нейтраль
10dec_N11_1_p2;Вокруг дома. На против дома находится садик. Садик с бассейном. Небольшое здание трех, четырехэтажное, достаточно светлое с желтыми, зелеными, коричневыми панелями. Вокруг магазины, очень много стройки. Много строящихся домов, что-то уже построилось, что-то нет. Если пройти прямо по проспекту метров через семьсот будет парк. Парк, там небольшой искусственный пруд. Также много детских площадок сделанных, храм. Храм стоит в центре парка. Если пройти чуть правее будет железная дорога, электрички. ;нейтраль
10dec_N11_1_p3;Захожу в магазин, покупаю тыкву, небольшую грамм пятьсот. Марковка, лук. Прихожу домой. Мою тыкву половинку, чищу, режу на мелкие кусочки, бросаю в кипящую воду. Минут десять, пятнадцать она закипает. Сливаю воду. Толку тыкву. Добавляю туда пассерованную морковку, пассерованный лук. Все это солю, перчу. Добавляю кореандр. Взбиваю все блендером. Добавляю сливки. Подаю на стол с кунжутом. ;нейтраль
10dec_N11_1_p4;Игра остров сокровищ. Перед участниками игры раскладываются карты, там около ста двадцати ходов. Каждый ход имеет определенное задание. Выдаются каждому человеку по одной фишке. Это фишка персонаж. Бросается кубик у кого самое большое количество, количество цифр. Этот человек идет первым. И начинается игра. Если человек попадает на цифру пять, там зашифрован сундук. Он берет карточку и читает задание. ;нейтраль
10dec_N11_1_p5;Меня зовут Александрова Кристина. Мне двадцать два года. Родилась я в городе Новосибирске. Прожила там до двенадцати лет и переехала в Москву. С детства занималась синхронным плаванием: ну как с детства: с десяти лет. Продолжила уже спортивную карьеру здесь. Училась в школе параллельно. Закончила школу. Два года поступала в театральный институт. Поступила со второго года. Сейчас заканчиваю четвертый курс.;нейтраль
10dec_N11_2_p1;Встаю в восемь-тридцать. Иду в душ. Одеваю линзы. Мою руки. Затем чищу зубы. Иду на кухню. Выпиваю стакан комнатной температуры воды. Выпиваю лекарство. Иду обратно в душ.Принимаю душ. Обливаюсь холодной водой. Выхожу сушу волосы. Одеваюсь. Иду на кухню завтракаю. Выпиваю кофе. Беру собой фрукты на работу. Выхожу из дома на работу.;нейтраль
10dec_N11_2_p2; Зимой много слякоти. . Где-то, где огороженная местность, там сугробы снега. Узкие дороги для проезда. Мало мест для парковки.Очень много машин всегда, трудно проехать на автомобиле. Много строившихся домов. Много рабочих. Достаточно шумно бывает во время активной стройки. Работают краны строительные. Очень много детей, мамочек на детской площадке. . ;нейтраль
10dec_N11_2_p3;"Как я готовлю бутерброд. Беру хлеб желательно белый. Беру батон белого хлеба. Отрезаю небольшой, тонкий кусок. Отрезаю кусок колбасы тоненько. Сверху кладу сыр. Немножко поливаю соусом табаско. Можно еще ""сиртаки"" туда положить сыр. Беру завариваю чай. Заливаю молоком и выпиваю и съедаю бутерброд. ";нейтраль
10dec_N11_2_p4;Шахматы. Есть пешки, ферс, слон, ладья. Ладья это по-моему ест. Ферс это разное с ладьей. Королева, король, Кто еще? Не помню кто еще. Пешки хотят один на одну клетку вперед могут ходить, а при первом ходе могут на две клетки вперед ходить, а последующие ходы на одну клетку. Королева может ходит не ограниченное количество клеток вперед . Она вообще может как угодно по-моему ходить. Король может ходить на одну клетку вправо, влево, вперед, назад, да, и по диагонали по-моему по одной клетке. Да. ;нейтраль
10dec_N11_2_p5;Меня зовут Родион Долоконников. Мне двадцать пять лет. Родился тридцать первого августа девяносто первого года, в Алмате это Казахстан. Родился, да родился в Алмате. В шестнадцать лет переехал в Москву. Поступил во ВГИК на актера. Закончил мастерскую Александра Яковливича Михайлова. В двадцать лет. В шестьнадцать поступил, в двадцать лет я уже закончил. Работал я в театре Сергея Безрукого, когда у него еще был антрепризный театр. Потом оттуда ушел. И сейчас я вольный художник.;нейтраль
14dec_D11_1;И? Что, что, что? Алина, хватит переживать. Самолет это очень редкий случай, ну разбился, ну ошибка пилота, двигатель - это очень редко, хватит паниковать по пустякам. Может мы вообще не будем летать, сидеть в Москве и никуда не выезжать. Но это один на миллион, когда он так разбился. ;гнев
14dec_D11_2; Влад, я сегодня посмотрела новости. Ты знаешь, я наверно сдам билеты. Ты видел ,там же самолет разбился. Я не поеду Влад,я знаю что со мной что-нибудь случится. Ты видел сколько людей? Все погибли .Влад ты понимаешь сколько людей погибло .Ты понимаешь что сейчас опасная ситуация и летать просто так вот не надо лучше. Давай я лучше просто сдам билет и всё .Влад ну пожалуйста, ты меня можешь послушать, ты понимаешь сколько людей погибло;страх
14dec_D12_1;И что ты там опять увидела? И что? И что теперь? Хватит тебе паниковать, вот хватит по каждой ерунде ты паникуешь! Ну вот самолёт упал, но это такая редкость. Почему ты думаешь что вот сейчас упал один, значит завтра упадет второй ?!Самолёты падают реже… ты… хватит паниковать хватит Мы уже заплатили деньги всё-всё-всё;гнев
14dec_D12_2;Ой Влад, я сегодня посмотрела новости ну там вот этот сюжет, самолет разбился слышал вчера? там вот эти всякие обломки, вещи, чемоданы, люди, что-то я чувствую мне наверное не стоит лететь, я наверное лучше сдам билет. Влад, ну не редкость, ну я просто чувствую, мне интуиция подсказывает, что лучше не надо. А почему. Влад ну ты знаешь сейчас всякие теракты, лучше не надо лететь. Давайте мы куда-нибудь просто съездим, я очень не хочу лететь, ну пожалуйста. Почему я просто не могу сдать билет?;страх
14dec_D13_1;Какие новости? Ты о чём ? Какой самолёт? Хватит паниковать! Хватит ! Всё будет хорошо! Почему ты думаешь что если самолёт упал вчера значит он упадет и завтра, послезавтра и каждый день;гнев
14dec_D13_2;Влад, я не поеду, я хочу сдать билет, потому что я вчера посмотрела новости я не хочу, Влад, я не поеду. Опять этот самолет разбился, я не поеду. Ну вчера сюжет показали, я не хочу Влад. Я просто подумала, что лучше сдать билет, потому что я вот чувствую что обязательно что-нибудь случится. Ты видел эти кадры ужасные? Нет Влад, я не поеду, я не хочу. Я хочу сдать билет. Влад, ну я чувствую, я просто я боюсь, я не хочу, я боюсь перелетов длинных.;страх
14dec_D14_1;Может хватит уже паниковать? Ты не боишься, значит ездить на машинах, а самолетов ты боишься? Ну. Да почему ты думаешь...?;гнев
14dec_D14_2;Влад, я решила сдать билет. Я никуда не поеду. Поэтому летите без меня. Я вчера увидела этот сюжет ужасный. Я не хочу. Я чувствую что обязательно если я полечу мы упадем, разобьемся. К чертовой матери. Я не хочу. Эти всякие теракты. Я не хочу. Я просто решила сдать билет. Нет, Влад. Не надо, пожалуйста, меня уговаривать. Я решила. Я боюсь всех этих перелетов. Я Я давно говорила что это плохая идея. Влад, я боюсь. Там высота, там некуда деться. Понимаешь. Если что-то случиться – всё. Фатальный исход.;страх
14dec_D21_1;Угу. А. Где, где, где это находиться? Да. Так. Джипа. По сафари. Сафари, да!;радость
14dec_D21_2;Влад, нам удастся посмотреть коньоны. Я, в общем, нашла обалденный маршрут. Смотри, мы из Мельбурна с тобой поедем автостопом. Там есть абсолютно дикий маршрут куда мы приедем, мы сможем увидеть все и водопады, и каньоны. В штате Аделаида, конечно. Ну ты хотел туда поехать. Поэтому я все устроила. Смотри, там будет ферма кингуриная. Кенгуриная?! В общем, после этого мы с тобой обязательно, просто, возьмем два джипа и поедем с тобой... Конечно! Мы должны будем посмотреть с тобой коньон большой.;радость
14dec_D22_1;Пожалуйста . Правда ? Ты меня научишь? А кто? Кто ? Кто? Где? А кто нас будет учить то ? Так. Так это же круто, круто да. Да , да поехали ;радость
14dec_D22_2;Так, Влад, я всё придумала. Мы с тобой сможем научиться кататься на сёрфе. Нет, не я. Но я всё устроила. В общем, когда мы прилетаем в Мельбурн, мы идем на дикие пляжи. Я обо всём договорилась. Мы сразу берем доски и идем учиться кататься на сёрфе. У меня есть знакомы друг. Тренер. В общем Влад, это просто невероятно. Он там к тому же ещё и проводник. Он нам покажет и водопады, и каньоны, и ферму. В общем, ты увидишь всё что хотел. Я очень рада. Конечно. ;радость
14dec_D31_1;Почему? А, нельзя что-нибудь придумать или кого-нибудь из родственников попросить, чтоб.;грусть
14dec_D31_2;Влад, ну я к сожалению не еду. Ну, дедушка заболел и мне теперь надо остаться, я уже не могу поехать. Ну а что я придумаю, нет. Ну, все работают а за ним нужен круглосуточный присмотр, сиделка не вариант, потому что, ну понимаешь, да, что как родная внучка оставит и улетит куда-то отдыхать и веселиться. Я к сожалению не могу, поэтому, я вот сдам билет. ;грусть
14dec_D32_1;Почему? Почему? А. Подожди а нельзя никого оставить с ним? А? Ну а есть же родственники другие. Кто-нибудь может с ним посидеть? ;грусть
14dec_D32_2;Влад, я не поеду, к сожалению. Я не смогу. Дедушка заболел и теперь все планы просто полетели. Ну да, я знаю. И деньги потеряли. И готовились долго. И бронь эта. Да нельзя ничего сделать. Ничего нельзя сделать, Влад. Я уже думала все варианты, но никак не получается. Нет Влад. Уже больше ничего не получится. И мне очень обидно. И грустно. Потому что все так хотели, так планировали давно. Но. Ну никак. Вот в это раз. Не знаю, может быть когда-нибудь ещё получиться съездить, но сейчас.;грусть
14dec_D33_1;Подожди. И не с кем его оставить разве? Ну конечно привезем. Обидно, без тебя. Без тебя не будет так интересно. Конечно, да. Да.;грусть
14dec_D33_2;Влад, в общем, такое дело. Дедушка заболел. Поэтому я, вот, не поеду. Не с кем, к сожалению. И всё это вот. И бронь полетела. И отели. И деньги потеряны. Но вот. Я, к сожалению, не могу. Ни оставить его. Вы поедете без меня. Я не знаю. Привезете мне сувениров, магниты. Кенгуру, может быть. Так обидно, Влад. Я так давно планировала. Ну ты знаешь сам что это мечта всей моей жизни была. Ну что поделать. Будем по скайпу звонить каждый вечер друг-другу. Будете показывать, как у вас там тепло. ;грусть
14dec_D34_1; Да. И это точно? И и не на кого его оставить ? Обидно то как. Без тебя не будет того интереса. Всё это улетело. ;грусть
14dec_D34_2;Влад, в общем, с грустной я новостью: дедушка опять заболел и я уже не еду. Это точно. Это ужасно обидно и все планы к черту полетели и весь этот новый год в Австралии, и каньоны, и кенгуру. Не на кого, Влад, ну ты же знаешь как вот, ты же знаешь сам ситуацию. Так что будем с вами списываться, созваниваться по скайпу, будете мне там с кенгуру селфи слать. Я знаю, я планировала очень долго, сам же понимаешь. Полетите без меня. Конечно не будет. Обидно, очень обидно и представляешь и бронь, и все эти деньги, и представляешь сколько денег ушло? И всё, всё это улетело в черную дыру. Очень обидно. Ну, может быть. Когда-нибудь.;грусть
14dec_D41_1; Алин, тут такое дело, я сейчас смотрю по сайту билеты Новую Зеландию. А билетов на эту дату нет, уже все распродано и как бы, я вот смотрю, я хочу что-то выбрать, а не могу. Не, я как бы понимаю, что я... Вот.. Вот… Я сейчас смотрю и ничего не ... Я, я хотел оплатить, но я забегался и не увидел. Я забегался и не увидел. Да, я... Да, я понимаю.;грусть
14dec_D41_2;Да? Чего? Чего? Я ж тебе сказала оплатить, ты чего, мы забронировали. Влад, да ты псих что ли, ты с ума сошел, почему ты не оплатил. Ты же сам сказал, что ты оплатишь. Почему, если ты ни черта не можешь сделать, зачем ты брался. Да не надо мне оправдываться. Какой ? Ты издеваешься? Ты забыл? Ты понимаешь, что уже отель оплачен. Ты понимаешь это? Как ты мог забыть? Мы планировали это целый год, а ты взял и забыл. Да какого черта скажи мне пожалуйста, как можно было это забыть.;гнев
14dec_D42_1;Алин, я не купил билеты, потому что их больше нет. Их всех выкупили уже, и я не смог купить. Да, я… Я торопился, я забегался и просто не увидел. Вот и всё и не оплатил. Да, я виноват.;грусть
14dec_D42_2;Чего? Как их могли выкупить? Ты же должен был оплатить бронь. У тебя было две недели, Влад! Да почему тебе ничего нельзя доверить? Объясни мне пожалуйста, зачем ты берешьсятогда если не можешь ничего сделать? Почему мы так долго планировали эту поездку, а тебе нужно было сделать только одно действие. Взять и оплатить эти чертовы билет. Как можно было пропустить две недели свободного времени, ты всё равно ничего делаешь? Чего ты там торопился? Влад, ты понимаешь, что теперь шесть человек останутся без новогодних праздников. Почему что ты забыл оплатить билеты! Да как такое возможно? Почему ты такой безответственный? ;гнев
14dec_D43_1;Алин, такое дело. В общем я не смог купить билеты. Их все уже раскупили. Нет, я не прикалываюсь. Я сейчас зашел на сайт и билетов нет. Я забегался и просто не успел. Я забыл про эту дату.;грусть
14dec_D43_2;Чего? Это прикол какой-то, Влад? Влад, да ты надоел, да почему ты никогда ничего не можешь сделать. У нас бронь была, ты почему не оплатил, почему ты никогда ничего не делаешь. Ты какой-то бесполезный элемент в нашей компании. Почему ты бесконечно все портишь? Лучше бы я сама эти чертовы билеты оплатила, тебе ничего нельзя доверить. Господи, какой ты безответственный. Влад, мне надоела эта твоя безответственность, ты понимаешь? Ты просто испортил нашей компании отдых, ты понимаешь это? Ты понимаешь? Ты просто взял и забыл. Объясни мне как можно взять и забыть оплатить билеты. Тебе лень? Ты занят очень? Где ты забегался? Хомяк что ли в клетке, забегался он. Ты надоел уже просто. Ты бесконечно все портишь.;гнев
14dec_D51_1;В Китае что ли? Прям тараканов? Прям жи… У… И… И это всё в Китае?;отвращение
14dec_D51_2;Влад, слушай. Чет мы с тобой выбрали конечно страну. Я тут посмотрела, что они там едят. Да в Китае, в Китае. Там вот это знаешь? Слышал? Мадагаскарский таракан такой здоровый, с кулак размером. Так вот, короче говоря, они их живьем едят. Вот эти прям усики. Представляешь? Вот он так смотрит эти своими глазищами. Усики шевелятся. А в этот момент ты откусываешь, лапки цепляются за язычок. Представляешь? Ты жуешь, но вообще говорят мясо вкусное. Но ты только представь себе, эти крылышки шевелятся. Ты проглатываешь еще. Оно шевелится внутри тебя. Конечно! А еще знаешь…;отвращение
14dec_D52_1; Ну и. Угу. Угу. .У. Угу. И что это за блюдо? Угу. Угу. Он еще грязный .;отвращение
14dec_D52_2;Влад, я короче говоря, сегодня посмотрела вот этого, который ездит по всем странам. В общем, посмотрела я про Китай, про то что они там едят, вот. В общем, короче говоря, мужик пришел в этот ресторан, подали ему там какой-то пирог, он значит его откусывает, а там половинка таракана. Знаешь почему половинка? Потому что первую половинку он уже съел. Причем сам об этом не знал. И дальше смотрит на него, а там такая дрянь, этого таракана, его когда разрубишь на пополам. У него усики, головка еще шевелится и ножки отдельно живут своей жизнью. То есть. когда ты ешь, оно все, представляешь, там все внутри, когда ты глотаешь, да, оно у тебя лапками так вот все внутри. По трахеи и вот так вот. По пищеводу, в желудочке может быть барахтаться там, представляешь? И вот это все ешь, жуешь, а оно все еще хрустит. В общем, Влад, я не знаю, что-то мы с тобой по-моему лихо загнули с этим Китаем, я просто не представляю, чего они там еще могут есть, всяких крыс. Знаешь, блюдо есть такое «Три писка» называется. Там крысенышей, значит, ловят. Первый писк, когда его ловят, второй писк, когда кидают в воду кипящую, в суп, он так называется и третий, когда, ты достаешь и надкусываешь еще живого мышонка и он так последний писк издает. И ты вот эту всю шерстку, представляешь, вот это все между зубов застревает, и это все дрянь.;отвращение
14dec_D53_1; Ну? Ну да, я помню, помню. А чьи личинки-то? Подожди, а они там не будут как-то . Размножаться и потом .;отвращение
